Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
floydraglin/2523695,"Raglin, Floyd",,1987,Regular Season,3,10/04,Away,SEA,L,20 to 24,1,--,--,--,--,--,--,--,--,--,--,--,--,--
floydraglin/2523695,"Raglin, Floyd",,1987,Regular Season,4,10/11,Home,KC,W,42 to 0,1,--,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2014,Preseason,1,08/09,Away,ARI,L,0 to 32,1,0,--,--,--,--,--,--,--,--,--,--,1,0
joeadams/2532782,"Adams, Joe",,2014,Preseason,2,08/16,Home,ATL,W,32 to 7,1,0,0,0,--,--,0,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2014,Preseason,3,08/23,Away,DEN,W,18 to 17,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2013,Preseason,1,08/09,Home,CHI,W,24 to 17,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2013,Preseason,2,08/15,Away,PHI,L,9 to 14,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Preseason,1,08/11,Home,HOU,L,13 to 26,1,0,--,--,--,--,--,1,4,4.0,4,0,--,--
joeadams/2532782,"Adams, Joe",,2012,Preseason,2,08/17,Home,MIA,W,23 to 17,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Preseason,3,08/26,Away,NYJ,W,17 to 12,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Preseason,4,08/30,Away,PIT,L,16 to 17,1,0,--,--,--,--,--,--,--,--,--,--,1,1
joeadams/2532782,"Adams, Joe",,2012,Regular Season,1,09/09,Away,TB,L,10 to 16,1,0,--,--,--,--,--,--,--,--,--,--,1,0
joeadams/2532782,"Adams, Joe",,2012,Regular Season,2,09/16,Home,NO,W,35 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,3,09/20,Home,NYG,L,7 to 36,1,0,--,--,--,--,--,--,--,--,--,--,2,2
joeadams/2532782,"Adams, Joe",,2012,Regular Season,4,09/30,Away,ATL,L,28 to 30,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,5,10/07,Home,SEA,L,12 to 16,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,7,10/21,Home,DAL,L,14 to 19,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,8,10/28,Away,CHI,L,22 to 23,0,0,--,--,--,--,--,--,--,--,--,--,--,--
joeadams/2532782,"Adams, Joe",,2012,Regular Season,9,11/04,Away,WAS,W,21 to 13,0,0,--,--,--,--,--,--,--,--,--,--,--,--
